,alpha,N,Strategy,Loser-effect,Winner-effect,Rule,filename
0,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_0.csv
1,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_1.csv
2,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_2.csv
3,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_3.csv
4,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_4.csv
5,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_5.csv
6,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_6.csv
7,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_7.csv
8,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_8.csv
9,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_9.csv
10,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_10.csv
11,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_11.csv
12,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_12.csv
13,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_13.csv
14,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_14.csv
15,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_15.csv
16,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_16.csv
17,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_17.csv
18,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_18.csv
19,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_19.csv
20,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_20.csv
21,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_21.csv
22,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_22.csv
23,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_23.csv
24,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_24.csv
25,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_25.csv
26,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_26.csv
27,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_27.csv
28,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_28.csv
29,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_29.csv
30,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_30.csv
31,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_31.csv
32,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_32.csv
33,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_33.csv
34,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_34.csv
35,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_35.csv
36,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_36.csv
37,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_37.csv
38,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_38.csv
39,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_39.csv
40,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_40.csv
41,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_41.csv
42,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_42.csv
43,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_43.csv
44,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_44.csv
45,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_45.csv
46,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_46.csv
47,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_47.csv
48,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_48.csv
49,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_49.csv
50,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_50.csv
51,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_51.csv
52,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_52.csv
53,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_53.csv
54,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_54.csv
55,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_55.csv
56,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_56.csv
57,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_57.csv
58,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_58.csv
59,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_59.csv
60,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_60.csv
61,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_61.csv
62,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_62.csv
63,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_63.csv
64,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_64.csv
65,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_65.csv
66,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_66.csv
67,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_67.csv
68,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_68.csv
69,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_69.csv
70,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_70.csv
71,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_71.csv
72,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_72.csv
73,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_73.csv
74,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_74.csv
75,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_75.csv
76,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_76.csv
77,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_77.csv
78,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_78.csv
79,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_79.csv
80,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_80.csv
81,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_81.csv
82,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_82.csv
83,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_83.csv
84,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_84.csv
85,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_85.csv
86,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_86.csv
87,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_87.csv
88,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_88.csv
89,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_89.csv
90,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_90.csv
91,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_91.csv
92,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_92.csv
93,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_93.csv
94,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_94.csv
95,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_95.csv
96,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_96.csv
97,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_97.csv
98,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_98.csv
99,1,10,random,persistent,persistent,aggressor_wins,Data/Crickets_PL_PW_99.csv
