,alpha,N,Strategy,Loser-effect,Winner-effect,Rule,filename
0,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_0.csv
1,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_1.csv
2,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_2.csv
3,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_3.csv
4,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_4.csv
5,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_5.csv
6,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_6.csv
7,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_7.csv
8,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_8.csv
9,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_9.csv
10,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_10.csv
11,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_11.csv
12,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_12.csv
13,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_13.csv
14,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_14.csv
15,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_15.csv
16,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_16.csv
17,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_17.csv
18,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_18.csv
19,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_19.csv
20,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_20.csv
21,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_21.csv
22,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_22.csv
23,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_23.csv
24,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_24.csv
25,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_25.csv
26,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_26.csv
27,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_27.csv
28,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_28.csv
29,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_29.csv
30,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_30.csv
31,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_31.csv
32,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_32.csv
33,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_33.csv
34,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_34.csv
35,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_35.csv
36,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_36.csv
37,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_37.csv
38,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_38.csv
39,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_39.csv
40,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_40.csv
41,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_41.csv
42,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_42.csv
